A1CF
A2M
A2ML1
AADAC
ABCA10
ABCA6
ABCA8
ABCA9
ABCB1
ABCC3
ABCC4
ABCC9
ABCG2
ABHD11-AS1
ABHD12
ABHD17C
ABHD5
ABI3BP
ABLIM3
ABTB2
AC004257.1
AC004556.1
AC004791.2
AC005616.2
AC006262.5
AC010731.4
AC010969.1
AC016912.3
AC019172.2
AC020571.3
AC022182.3
AC024592.9
AC060834.3
AC069277.2
AC069513.4
AC079630.2
AC079767.4
AC090498.1
AC090616.2
AC104024.1
AC104667.3
AC104699.1
AC124944.5
AC133644.2
AC136616.1
AC141272.1
AC142528.1
AC145110.1
AC233755.1
AC233755.2
ACADM
ACAT2
ACE
ACKR1
ACOX1
ACOXL
ACP5
ACP7
ACSL1
ACSL4
ACTA2
ACTG2
ACVRL1
ACY3
ADAM12
ADAM28
ADAM33
ADAMDEC1
ADAMTS1
ADAMTS12
ADAMTS2
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS9
ADAMTSL2
ADAP2
ADCY4
ADCYAP1
ADGRA2
ADGRF1
ADGRF5
ADGRG1
ADGRG6
ADGRL2
ADGRL4
ADH1B
ADH1C
ADH7
ADIPOR1
ADIPOR2
ADIRF
ADM
ADM5
ADORA3
ADRA2A
ADRA2B
ADTRP
AEBP1
AF003625.3
AGFG2
AGR2
AGR3
AGTR1
AHCY
AHI1
AHSP
AICDA
AIF1
AIF1L
AIFM2
AIM1
AIM1L
AKAP12
AKR1B10
AKR1C1
AKR1C2
AKR1C3
AKR7A3
AL022476.2
AL591893.1
AL773572.7
AL928768.3
ALAS2
ALB
ALCAM
ALDH1A1
ALDH1A3
ALDH3A1
ALDH3B1
ALDH3B2
ALDOB
ALOX12
ALOX15
ALOX15B
ALOX5
ALOX5AP
ALPK3
ALPL
AMOTL2
AMPD1
AMPD3
ANGPT2
ANGPTL1
ANGPTL2
ANGPTL4
ANGPTL7
ANK2
ANKRD33
ANKRD36C
ANKRD37
ANKRD55
ANLN
ANO1
ANTXR1
ANXA1
ANXA10
ANXA3
ANXA8
ANXA8L1
ANXA9
AOC1
AP000692.10
AP000769.1
APCDD1
APLN
APLNR
APLP1
APOA1
APOA4
APOBEC1
APOBEC3A
APOBEC3B
APOBEC3G
APOC1
APOC3
APOD
APOE
APP
AQP1
AQP2
AQP3
AQP4
AQP5
AQP9
ARC
AREG
ARG1
ARG2
ARHGAP10
ARHGAP11A
ARHGAP11B
ARHGAP27
ARHGAP29
ARHGEF15
ARHGEF6
ARL14
ARL15
ARL6IP1
ARNTL2
ARRDC3
ARRDC4
ARX
ASCC2
ASCL1
ASF1B
ASGR2
ASPG
ASPM
ASPN
ASPRV1
ASS1
ATAD2
ATF3
ATG9B
ATP12A
ATP13A3
ATP13A4
ATP13A5
ATP1A1
ATP1A2
ATP1B1
ATP1B2
ATP4A
ATP4B
ATP5G1
ATP6V0D2
ATP6V1C2
AURKA
AURKB
AVPI1
AVPR1A
AXL
AZGP1
B3GALT2
B3GALT5
B3GALT5-AS1
B3GAT1
B3GNT3
B3GNT7
B3GNT8
B4GALT1
BAG3
BAIAP2L2
BANCR
BANK1
BARX1
BARX2
BASP1
BATF
BATF3
BBOX1
BCAM
BCAS1
BCAT1
BCHE
BCL11A
BCL2A1
BCL6B
BCO2
BCYRN1
BEST1
BEX1
BGN
BHLHE22
BHLHE40
BHMT
BICC1
BIRC3
BIRC5
BLK
BLOC1S5
BLVRB
BMP2
BMP3
BMP4
BMP5
BMP7
BMPR2
BNIP3
BNIPL
BOC
BPGM
BPIFB1
BRCA1
BRCA2
BTBD9-AS1
BTK
BTNL9
BUB1
BUB1B
C10orf10
C10orf99
C11orf53
C11orf87
C11orf96
C15orf48
C15orf62
C16orf89
C18orf25
C19orf48
C1orf116
C1orf162
C1orf186
C1orf228
C1orf54
C1orf64
C1orf68
C1QA
C1QB
C1QC
C1QTNF1
C1QTNF7
C1R
C1S
C20orf24
C2CD4B
C2orf40
C2orf54
C3
C3orf67
C3orf80
C4orf19
C4orf26
C4orf3
C5AR1
C5orf66-AS1
C6orf132
C6orf222
C6orf58
C7
C8orf4
C9orf135
CA1
CA12
CA2
CA4
CA9
CABLES1
CADM1
CADM2
CADM3
CADM3-AS1
CALB1
CALB2
CALCRL
CALD1
CALML3
CALML5
CAMK2N1
CAMP
CAPN14
CAPN5
CAPN8
CAPN9
CAPNS2
CAPS
CAPSL
CARD18
CARHSP1
CARMN
CASC15
CASC5
CAV1
CBLN1
CBR1
CBR3
CCDC102B
CCDC127
CCDC3
CCDC34
CCDC64
CCDC64B
CCDC80
CCK
CCKBR
CCL1
CCL11
CCL13
CCL14
CCL15
CCL17
CCL18
CCL19
CCL2
CCL20
CCL21
CCL22
CCL23
CCL26
CCL27
CCL3
CCL3L3
CCL4
CCL4L2
CCL5
CCL8
CCNA2
CCNB1
CCNB2
CCND1
CCND2
CCNF
CCNG2
CCNYL1
CCR10
CCR2
CCR3
CCR4
CCR5
CCR6
CCR7
CD14
CD163
CD163L1
CD177
CD19
CD1A
CD1B
CD1C
CD1E
CD200
CD207
CD209
CD24
CD247
CD248
CD27
CD300E
CD300LB
CD300LG
CD320
CD34
CD36
CD38
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD55
CD68
CD69
CD74
CD79A
CD79B
CD83
CD86
CD8A
CD8B
CD9
CD93
CDA
CDC20
CDC42EP5
CDCA2
CDCA3
CDCA7
CDCA8
CDH1
CDH11
CDH13
CDH16
CDH17
CDH19
CDH2
CDH26
CDH3
CDH5
CDH6
CDK1
CDK14
CDKN1A
CDKN1C
